espn_id,full_name,team,position,injury,fantasy_points
11291,Chad Henne,Jac,QB,False,0
60013,OAK_DST,OAK,DST,False,47
5615,Matt Schaub,Bal,QB,False,0
9635,Kellen Clemens,SD,QB,False,0
11128,Matt Moore,Mia,QB,False,0
9650,Tarvaris Jackson,Sea,QB,False,0
17613,Brett Hundley,GB,QB,False,0
16810,AJ McCarron,Cin,QB,False,0
17572,Garrett Grayson,NO,QB,False,0
13987,Blaine Gabbert,SF,QB,False,8
13966,Christian Ponder,Oak,QB,False,0
16943,Tom Savage,Hou,QB,False,0
17434,Bryce Petty,NYJ,QB,False,0
17611,Ty Montgomery,GB,WR,False,9.3
17553,Dezmin Lewis,Buf,WR,False,0
